Source,Target,Type,Id,Label,timeset,Weight
0,1,Unidirected,0,,,230
0,2,Unidirected,1,,,120
0,3,Unidirected,2,,,91
0,4,Unidirected,3,,,85
5,1,Unidirected,4,,,106
5,2,Unidirected,5,,,59
5,3,Unidirected,6,,,50
5,4,Unidirected,7,,,48
6,1,Unidirected,8,,,9
6,4,Unidirected,9,,,4
6,2,Unidirected,10,,,2
7,2,Unidirected,11,,,24
7,1,Unidirected,12,,,60
7,3,Unidirected,13,,,16
7,4,Unidirected,14,,,23
8,2,Unidirected,15,,,21
8,1,Unidirected,16,,,73
8,3,Unidirected,17,,,14
8,4,Unidirected,18,,,6
9,2,Unidirected,19,,,8
9,3,Unidirected,20,,,3
9,1,Unidirected,21,,,8
9,4,Unidirected,22,,,9
10,2,Unidirected,23,,,2
10,1,Unidirected,24,,,2
11,2,Unidirected,25,,,354
11,1,Unidirected,26,,,1073
11,3,Unidirected,27,,,233
11,4,Unidirected,28,,,282
12,2,Unidirected,29,,,109
12,1,Unidirected,30,,,198
12,3,Unidirected,31,,,79
12,4,Unidirected,32,,,63
13,1,Unidirected,33,,,1059
13,3,Unidirected,34,,,196
13,2,Unidirected,35,,,355
13,4,Unidirected,36,,,225
14,1,Unidirected,37,,,62
14,2,Unidirected,38,,,16
14,3,Unidirected,39,,,6
14,4,Unidirected,40,,,9
15,1,Unidirected,41,,,88
15,3,Unidirected,42,,,34
15,2,Unidirected,43,,,52
15,4,Unidirected,44,,,32
16,1,Unidirected,45,,,2
17,1,Unidirected,46,,,2
18,1,Unidirected,47,,,38
18,2,Unidirected,48,,,18
18,4,Unidirected,49,,,10
19,1,Unidirected,50,,,10
19,2,Unidirected,51,,,5
19,4,Unidirected,52,,,4
20,1,Unidirected,53,,,14
20,2,Unidirected,54,,,9
20,3,Unidirected,55,,,9
20,4,Unidirected,56,,,2
21,1,Unidirected,57,,,16
21,2,Unidirected,58,,,3
21,4,Unidirected,59,,,2
22,1,Unidirected,60,,,15
22,3,Unidirected,61,,,5
22,2,Unidirected,62,,,3
23,1,Unidirected,63,,,3
24,1,Unidirected,64,,,244
24,3,Unidirected,65,,,85
24,2,Unidirected,66,,,85
24,4,Unidirected,67,,,198
25,1,Unidirected,68,,,16
25,4,Unidirected,69,,,17
25,3,Unidirected,70,,,14
25,2,Unidirected,71,,,12
26,2,Unidirected,72,,,181
26,1,Unidirected,73,,,445
26,3,Unidirected,74,,,131
26,4,Unidirected,75,,,98
27,2,Unidirected,76,,,2
28,1,Unidirected,77,,,165
28,2,Unidirected,78,,,67
28,4,Unidirected,79,,,33
28,3,Unidirected,80,,,37
29,1,Unidirected,81,,,3
30,2,Unidirected,82,,,311
30,1,Unidirected,83,,,894
30,3,Unidirected,84,,,239
30,4,Unidirected,85,,,373
31,2,Unidirected,86,,,53
31,1,Unidirected,87,,,93
31,3,Unidirected,88,,,26
31,4,Unidirected,89,,,41
32,2,Unidirected,90,,,4
32,1,Unidirected,91,,,7
32,4,Unidirected,92,,,10
32,3,Unidirected,93,,,4
33,2,Unidirected,94,,,2
33,1,Unidirected,95,,,7
33,4,Unidirected,96,,,2
34,1,Unidirected,97,,,2
35,2,Unidirected,98,,,5
35,1,Unidirected,99,,,5
35,4,Unidirected,100,,,5
36,1,Unidirected,101,,,1760
36,3,Unidirected,102,,,432
36,2,Unidirected,103,,,723
36,4,Unidirected,104,,,463
37,1,Unidirected,105,,,6
37,2,Unidirected,106,,,3
37,4,Unidirected,107,,,2
38,1,Unidirected,108,,,9
38,2,Unidirected,109,,,6
38,3,Unidirected,110,,,2
39,1,Unidirected,111,,,50
39,2,Unidirected,112,,,15
39,3,Unidirected,113,,,8
39,4,Unidirected,114,,,7
40,1,Unidirected,115,,,2
40,2,Unidirected,116,,,3
41,1,Unidirected,117,,,407
41,2,Unidirected,118,,,130
41,4,Unidirected,119,,,107
41,3,Unidirected,120,,,82
42,1,Unidirected,121,,,319
42,2,Unidirected,122,,,155
42,3,Unidirected,123,,,104
42,4,Unidirected,124,,,67
