Source, Target,Type,Id,Label,timeset,Weight
0,1,Unidirected,0,,,2
0,2,Unidirected,1,,,23
0,3,Unidirected,2,,,2
0,4,Unidirected,3,,,1
5,0,Unidirected,4,,,20
5,6,Unidirected,5,,,59
5,3,Unidirected,6,,,10
5,7,Unidirected,7,,,3
5,8,Unidirected,8,,,8
5,2,Unidirected,9,,,51
5,4,Unidirected,10,,,10
5,9,Unidirected,11,,,34
5,10,Unidirected,12,,,6
5,11,Unidirected,13,,,19
5,1,Unidirected,14,,,8
5,12,Unidirected,15,,,5
5,13,Unidirected,16,,,2
5,14,Unidirected,17,,,12
5,15,Unidirected,18,,,2
5,16,Unidirected,19,,,1
5,17,Unidirected,20,,,1
5,18,Unidirected,21,,,1
19,0,Unidirected,22,,,10
19,20,Unidirected,23,,,77
19,6,Unidirected,24,,,65
19,16,Unidirected,25,,,2
19,4,Unidirected,26,,,45
19,3,Unidirected,27,,,10
19,21,Unidirected,28,,,69
19,15,Unidirected,29,,,4
19,2,Unidirected,30,,,9
19,5,Unidirected,31,,,38
19,11,Unidirected,32,,,16
19,8,Unidirected,33,,,16
19,1,Unidirected,34,,,7
19,22,Unidirected,35,,,1
19,10,Unidirected,36,,,7
19,13,Unidirected,37,,,9
19,17,Unidirected,38,,,4
19,14,Unidirected,39,,,17
19,7,Unidirected,40,,,1
19,12,Unidirected,41,,,3
11,0,Unidirected,42,,,7
11,3,Unidirected,43,,,4
11,2,Unidirected,44,,,7
11,4,Unidirected,45,,,2
20,0,Unidirected,46,,,17
20,5,Unidirected,47,,,64
20,6,Unidirected,48,,,82
20,11,Unidirected,49,,,20
20,16,Unidirected,50,,,4
20,14,Unidirected,51,,,15
20,4,Unidirected,52,,,14
20,9,Unidirected,53,,,2
20,23,Unidirected,54,,,1
20,15,Unidirected,55,,,4
20,24,Unidirected,56,,,1
20,13,Unidirected,57,,,6
20,8,Unidirected,58,,,12
20,1,Unidirected,59,,,7
20,2,Unidirected,60,,,16
20,10,Unidirected,61,,,5
20,17,Unidirected,62,,,6
20,3,Unidirected,63,,,21
20,12,Unidirected,64,,,5
20,25,Unidirected,65,,,1
20,18,Unidirected,66,,,1
20,26,Unidirected,67,,,1
20,27,Unidirected,68,,,1
20,7,Unidirected,69,,,1
20,22,Unidirected,70,,,1
6,0,Unidirected,71,,,18
6,16,Unidirected,72,,,83
6,3,Unidirected,73,,,22
6,11,Unidirected,74,,,21
6,2,Unidirected,75,,,20
6,14,Unidirected,76,,,14
6,26,Unidirected,77,,,1
6,4,Unidirected,78,,,19
6,10,Unidirected,79,,,14
6,12,Unidirected,80,,,5
6,1,Unidirected,81,,,4
6,7,Unidirected,82,,,1
16,0,Unidirected,83,,,1
16,14,Unidirected,84,,,1
16,11,Unidirected,85,,,1
16,23,Unidirected,86,,,1
16,4,Unidirected,87,,,1
8,0,Unidirected,88,,,6
8,6,Unidirected,89,,,21
8,2,Unidirected,90,,,6
8,11,Unidirected,91,,,7
8,1,Unidirected,92,,,2
8,3,Unidirected,93,,,6
8,7,Unidirected,94,,,1
8,4,Unidirected,95,,,3
8,14,Unidirected,96,,,5
8,28,Unidirected,97,,,5
8,13,Unidirected,98,,,4
8,17,Unidirected,99,,,2
8,12,Unidirected,100,,,1
15,0,Unidirected,101,,,1
15,6,Unidirected,102,,,9
15,4,Unidirected,103,,,4
15,2,Unidirected,104,,,1
15,11,Unidirected,105,,,1
15,1,Unidirected,106,,,1
15,3,Unidirected,107,,,2
15,10,Unidirected,108,,,1
15,14,Unidirected,109,,,1
15,25,Unidirected,110,,,6
15,17,Unidirected,111,,,1
14,0,Unidirected,112,,,2
14,2,Unidirected,113,,,2
14,11,Unidirected,114,,,4
14,3,Unidirected,115,,,4
14,4,Unidirected,116,,,3
14,24,Unidirected,117,,,13
10,0,Unidirected,118,,,3
10,12,Unidirected,119,,,1
10,11,Unidirected,120,,,2
10,2,Unidirected,121,,,4
10,1,Unidirected,122,,,2
13,6,Unidirected,123,,,5
13,2,Unidirected,124,,,1
13,11,Unidirected,125,,,1
13,1,Unidirected,126,,,1
13,3,Unidirected,127,,,6
13,14,Unidirected,128,,,1
9,6,Unidirected,129,,,1
9,29,Unidirected,130,,,1
17,6,Unidirected,131,,,8
17,3,Unidirected,132,,,26
17,11,Unidirected,133,,,5
17,2,Unidirected,134,,,2
17,1,Unidirected,135,,,1
17,12,Unidirected,136,,,1
17,30,Unidirected,137,,,2
17,22,Unidirected,138,,,1
4,3,Unidirected,139,,,2
4,29,Unidirected,140,,,10
25,6,Unidirected,141,,,1
25,11,Unidirected,142,,,1
28,6,Unidirected,143,,,1
27,6,Unidirected,144,,,1
21,20,Unidirected,145,,,3
21,4,Unidirected,146,,,2
21,13,Unidirected,147,,,1
21,5,Unidirected,148,,,2
21,9,Unidirected,149,,,1
21,29,Unidirected,150,,,1
1,22,Unidirected,151,,,4
1,3,Unidirected,152,,,2
3,18,Unidirected,153,,,4
2,4,Unidirected,154,,,6
2,29,Unidirected,155,,,1
2,3,Unidirected,156,,,2
26,2,Unidirected,157,,,30
12,2,Unidirected,158,,,2
12,11,Unidirected,159,,,1
12,1,Unidirected,160,,,1
12,3,Unidirected,161,,,6
12,4,Unidirected,162,,,1
12,29,Unidirected,163,,,1
12,14,Unidirected,164,,,1
12,31,Unidirected,165,,,7
23,11,Unidirected,166,,,7
23,1,Unidirected,167,,,1
