Source, Target,Type,Id,Label,timeset,Weight
0,1,Unidirected,0,,,169
0,2,Unidirected,1,,,86
0,3,Unidirected,2,,,6
0,4,Unidirected,3,,,43
0,5,Unidirected,4,,,47
0,6,Unidirected,5,,,10
0,7,Unidirected,6,,,2
0,8,Unidirected,7,,,698
0,9,Unidirected,8,,,196
0,10,Unidirected,9,,,632
0,11,Unidirected,10,,,30
0,12,Unidirected,11,,,67
0,13,Unidirected,12,,,2
0,14,Unidirected,13,,,28
0,15,Unidirected,14,,,7
0,16,Unidirected,15,,,19
0,17,Unidirected,16,,,7
0,18,Unidirected,17,,,7
0,19,Unidirected,18,,,2
0,20,Unidirected,19,,,191
0,21,Unidirected,20,,,32
0,22,Unidirected,21,,,305
0,23,Unidirected,22,,,93
0,24,Unidirected,23,,,2
0,25,Unidirected,24,,,542
0,26,Unidirected,25,,,68
0,27,Unidirected,26,,,5
0,28,Unidirected,27,,,3
0,29,Unidirected,28,,,2
0,30,Unidirected,29,,,8
0,31,Unidirected,30,,,2
0,32,Unidirected,31,,,1233
0,33,Unidirected,32,,,7
0,34,Unidirected,33,,,7
0,35,Unidirected,34,,,29
0,36,Unidirected,35,,,4
0,37,Unidirected,36,,,250
0,38,Unidirected,37,,,262
0,39,Unidirected,38,,,4
0,40,Unidirected,39,,,14
0,41,Unidirected,40,,,243
0,42,Unidirected,41,,,243
0,43,Unidirected,42,,,246
0,44,Unidirected,43,,,9
0,45,Unidirected,44,,,2
0,46,Unidirected,45,,,531
0,47,Unidirected,46,,,18
0,48,Unidirected,47,,,3
0,49,Unidirected,48,,,234
0,50,Unidirected,49,,,9
0,51,Unidirected,50,,,6
0,52,Unidirected,51,,,3
0,53,Unidirected,52,,,345
0,54,Unidirected,53,,,121
0,55,Unidirected,54,,,122
0,56,Unidirected,55,,,2
0,57,Unidirected,56,,,85
0,58,Unidirected,57,,,54
0,59,Unidirected,58,,,4
0,60,Unidirected,59,,,23
0,61,Unidirected,60,,,9
0,62,Unidirected,61,,,15
0,63,Unidirected,62,,,2
0,64,Unidirected,63,,,78
0,65,Unidirected,64,,,227
0,66,Unidirected,65,,,126
0,67,Unidirected,66,,,44
0,68,Unidirected,67,,,173
0,69,Unidirected,68,,,52
0,70,Unidirected,69,,,7
0,71,Unidirected,70,,,72
0,72,Unidirected,71,,,177
0,73,Unidirected,72,,,7
0,74,Unidirected,73,,,8
0,75,Unidirected,74,,,2
0,76,Unidirected,75,,,2
0,77,Unidirected,76,,,180
0,78,Unidirected,77,,,10
0,79,Unidirected,78,,,46
0,80,Unidirected,79,,,36
0,81,Unidirected,80,,,5
0,82,Unidirected,81,,,113
0,83,Unidirected,82,,,49
0,84,Unidirected,83,,,93
0,85,Unidirected,84,,,4
0,86,Unidirected,85,,,76
0,87,Unidirected,86,,,11
0,88,Unidirected,87,,,11
0,89,Unidirected,88,,,4
0,90,Unidirected,89,,,2
0,91,Unidirected,90,,,127
0,92,Unidirected,91,,,8
0,93,Unidirected,92,,,47
0,94,Unidirected,93,,,58
0,95,Unidirected,94,,,45
0,96,Unidirected,95,,,10
0,97,Unidirected,96,,,2
0,98,Unidirected,97,,,625
0,99,Unidirected,98,,,10
0,100,Unidirected,99,,,267
0,101,Unidirected,100,,,11
0,102,Unidirected,101,,,3
0,103,Unidirected,102,,,46
0,104,Unidirected,103,,,2
0,105,Unidirected,104,,,228
0,106,Unidirected,105,,,52
0,107,Unidirected,106,,,101
0,108,Unidirected,107,,,13
0,109,Unidirected,108,,,2
0,110,Unidirected,109,,,41
0,111,Unidirected,110,,,7
0,112,Unidirected,111,,,33
0,113,Unidirected,112,,,14
0,114,Unidirected,113,,,5
0,115,Unidirected,114,,,125
0,116,Unidirected,115,,,31
0,117,Unidirected,116,,,15
0,118,Unidirected,117,,,6
0,119,Unidirected,118,,,2
0,120,Unidirected,119,,,97
0,121,Unidirected,120,,,111
0,122,Unidirected,121,,,4
0,123,Unidirected,122,,,574
0,124,Unidirected,123,,,53
0,125,Unidirected,124,,,32
0,126,Unidirected,125,,,3
0,127,Unidirected,126,,,2
0,128,Unidirected,127,,,37
0,129,Unidirected,128,,,43
0,130,Unidirected,129,,,15
0,131,Unidirected,130,,,2
0,132,Unidirected,131,,,135
0,133,Unidirected,132,,,6
0,134,Unidirected,133,,,2
0,135,Unidirected,134,,,44
0,136,Unidirected,135,,,2
0,137,Unidirected,136,,,16
0,138,Unidirected,137,,,14
0,139,Unidirected,138,,,26
0,140,Unidirected,139,,,48
0,141,Unidirected,140,,,29
0,142,Unidirected,141,,,13
0,143,Unidirected,142,,,3
0,144,Unidirected,143,,,4
0,145,Unidirected,144,,,8
0,146,Unidirected,145,,,4
0,147,Unidirected,146,,,14
0,148,Unidirected,147,,,22
0,149,Unidirected,148,,,155
0,150,Unidirected,149,,,223
0,151,Unidirected,150,,,4
0,152,Unidirected,151,,,29
0,153,Unidirected,152,,,214
0,154,Unidirected,153,,,147
0,155,Unidirected,154,,,3
0,156,Unidirected,155,,,30
0,157,Unidirected,156,,,7
0,158,Unidirected,157,,,18
0,159,Unidirected,158,,,5
0,160,Unidirected,159,,,39
0,161,Unidirected,160,,,7
0,162,Unidirected,161,,,86
0,163,Unidirected,162,,,10
0,164,Unidirected,163,,,5
0,165,Unidirected,164,,,110
0,166,Unidirected,165,,,19
0,167,Unidirected,166,,,40
0,168,Unidirected,167,,,52
0,169,Unidirected,168,,,5
0,170,Unidirected,169,,,9
0,171,Unidirected,170,,,25
0,172,Unidirected,171,,,9
0,173,Unidirected,172,,,21
0,174,Unidirected,173,,,2
0,175,Unidirected,174,,,53
0,176,Unidirected,175,,,3
0,177,Unidirected,176,,,22
0,178,Unidirected,177,,,103
0,179,Unidirected,178,,,3
0,180,Unidirected,179,,,4
0,181,Unidirected,180,,,7
0,182,Unidirected,181,,,190
0,183,Unidirected,182,,,15
0,184,Unidirected,183,,,743
0,185,Unidirected,184,,,8
0,186,Unidirected,185,,,12
0,187,Unidirected,186,,,9
0,188,Unidirected,187,,,7
0,189,Unidirected,188,,,12
0,190,Unidirected,189,,,5
0,191,Unidirected,190,,,2
0,192,Unidirected,191,,,6
0,193,Unidirected,192,,,2
0,194,Unidirected,193,,,2
0,195,Unidirected,194,,,303
0,196,Unidirected,195,,,3
0,197,Unidirected,196,,,3
0,198,Unidirected,197,,,48
0,199,Unidirected,198,,,58
0,200,Unidirected,199,,,10
0,201,Unidirected,200,,,111
0,202,Unidirected,201,,,398
0,203,Unidirected,202,,,43
0,204,Unidirected,203,,,7
0,205,Unidirected,204,,,2
0,206,Unidirected,205,,,20
0,207,Unidirected,206,,,9
0,208,Unidirected,207,,,27
0,209,Unidirected,208,,,15
0,210,Unidirected,209,,,35
0,211,Unidirected,210,,,10
0,212,Unidirected,211,,,50
0,213,Unidirected,212,,,107
0,214,Unidirected,213,,,47
0,215,Unidirected,214,,,94
0,216,Unidirected,215,,,5
0,217,Unidirected,216,,,3
0,218,Unidirected,217,,,81
0,219,Unidirected,218,,,30
0,220,Unidirected,219,,,2
0,221,Unidirected,220,,,34
0,222,Unidirected,221,,,6
0,223,Unidirected,222,,,2
0,224,Unidirected,223,,,21
0,225,Unidirected,224,,,85
0,226,Unidirected,225,,,126
0,227,Unidirected,226,,,32
0,228,Unidirected,227,,,13
0,229,Unidirected,228,,,36
0,230,Unidirected,229,,,3
0,231,Unidirected,230,,,47
0,232,Unidirected,231,,,21
0,233,Unidirected,232,,,2
0,234,Unidirected,233,,,20
0,235,Unidirected,234,,,13
0,236,Unidirected,235,,,4
0,237,Unidirected,236,,,7
0,238,Unidirected,237,,,18
0,239,Unidirected,238,,,3
0,240,Unidirected,239,,,45
0,241,Unidirected,240,,,37
0,242,Unidirected,241,,,17
0,243,Unidirected,242,,,4
0,244,Unidirected,243,,,46
0,245,Unidirected,244,,,4
0,246,Unidirected,245,,,2
0,247,Unidirected,246,,,39
0,248,Unidirected,247,,,7
0,249,Unidirected,248,,,3
0,250,Unidirected,249,,,5
0,251,Unidirected,250,,,3
0,252,Unidirected,251,,,12
0,253,Unidirected,252,,,2
0,254,Unidirected,253,,,4
0,255,Unidirected,254,,,18
0,256,Unidirected,255,,,9
0,257,Unidirected,256,,,68
0,258,Unidirected,257,,,111
0,259,Unidirected,258,,,56
0,260,Unidirected,259,,,24
0,261,Unidirected,260,,,2
0,262,Unidirected,261,,,2
0,263,Unidirected,262,,,6
0,264,Unidirected,263,,,16
0,265,Unidirected,264,,,82
0,266,Unidirected,265,,,2
0,267,Unidirected,266,,,4
0,268,Unidirected,267,,,29
0,269,Unidirected,268,,,76
0,270,Unidirected,269,,,2
0,271,Unidirected,270,,,22
0,272,Unidirected,271,,,39
0,273,Unidirected,272,,,13
0,274,Unidirected,273,,,7
0,275,Unidirected,274,,,7
0,276,Unidirected,275,,,16
0,277,Unidirected,276,,,2
0,278,Unidirected,277,,,2
0,279,Unidirected,278,,,88
0,280,Unidirected,279,,,9
0,281,Unidirected,280,,,5
0,282,Unidirected,281,,,26
0,283,Unidirected,282,,,5
0,284,Unidirected,283,,,11
0,285,Unidirected,284,,,3
0,286,Unidirected,285,,,15
0,287,Unidirected,286,,,18
0,288,Unidirected,287,,,4
0,289,Unidirected,288,,,7
0,290,Unidirected,289,,,19
0,291,Unidirected,290,,,1331
0,292,Unidirected,291,,,78
0,293,Unidirected,292,,,75
0,294,Unidirected,293,,,5
0,295,Unidirected,294,,,2
0,296,Unidirected,295,,,35
0,297,Unidirected,296,,,5
0,298,Unidirected,297,,,52
0,299,Unidirected,298,,,93
0,300,Unidirected,299,,,4
0,301,Unidirected,300,,,32
0,302,Unidirected,301,,,11
0,303,Unidirected,302,,,2
0,304,Unidirected,303,,,19
0,305,Unidirected,304,,,10
0,306,Unidirected,305,,,10
0,307,Unidirected,306,,,47
0,308,Unidirected,307,,,5
0,309,Unidirected,308,,,65
0,310,Unidirected,309,,,11
0,311,Unidirected,310,,,3
0,312,Unidirected,311,,,28
0,313,Unidirected,312,,,2
0,314,Unidirected,313,,,2
0,315,Unidirected,314,,,2
0,316,Unidirected,315,,,538
0,317,Unidirected,316,,,2
0,318,Unidirected,317,,,8
0,319,Unidirected,318,,,5
0,320,Unidirected,319,,,19
0,321,Unidirected,320,,,2
0,322,Unidirected,321,,,8
0,323,Unidirected,322,,,2
0,324,Unidirected,323,,,48
0,325,Unidirected,324,,,52
0,326,Unidirected,325,,,3
0,327,Unidirected,326,,,10
0,328,Unidirected,327,,,20
0,329,Unidirected,328,,,2
0,330,Unidirected,329,,,4
0,331,Unidirected,330,,,19
0,332,Unidirected,331,,,2
0,333,Unidirected,332,,,4
0,334,Unidirected,333,,,95
0,335,Unidirected,334,,,28
0,336,Unidirected,335,,,112
0,337,Unidirected,336,,,5
0,338,Unidirected,337,,,25
0,339,Unidirected,338,,,5
0,340,Unidirected,339,,,3
0,341,Unidirected,340,,,40
0,342,Unidirected,341,,,5
0,343,Unidirected,342,,,2
0,344,Unidirected,343,,,7
0,345,Unidirected,344,,,5
0,346,Unidirected,345,,,54
0,347,Unidirected,346,,,4
0,348,Unidirected,347,,,3
0,349,Unidirected,348,,,18
0,350,Unidirected,349,,,4
0,351,Unidirected,350,,,92
0,352,Unidirected,351,,,62
0,353,Unidirected,352,,,4
0,354,Unidirected,353,,,46
0,355,Unidirected,354,,,3
0,356,Unidirected,355,,,3
0,357,Unidirected,356,,,13
0,358,Unidirected,357,,,2
0,359,Unidirected,358,,,22
0,360,Unidirected,359,,,6
0,361,Unidirected,360,,,6
0,362,Unidirected,361,,,6
0,363,Unidirected,362,,,18
0,364,Unidirected,363,,,3
0,365,Unidirected,364,,,25
0,366,Unidirected,365,,,5
0,367,Unidirected,366,,,30
0,368,Unidirected,367,,,3
0,369,Unidirected,368,,,17
0,370,Unidirected,369,,,2
0,371,Unidirected,370,,,14
0,372,Unidirected,371,,,31
0,373,Unidirected,372,,,5
0,374,Unidirected,373,,,5
0,375,Unidirected,374,,,13
0,376,Unidirected,375,,,120
0,377,Unidirected,376,,,2
0,378,Unidirected,377,,,4
0,379,Unidirected,378,,,11
0,380,Unidirected,379,,,11
0,381,Unidirected,380,,,18
0,382,Unidirected,381,,,2
0,383,Unidirected,382,,,2
0,384,Unidirected,383,,,8
0,385,Unidirected,384,,,2
0,386,Unidirected,385,,,15
0,387,Unidirected,386,,,16
0,388,Unidirected,387,,,5
0,389,Unidirected,388,,,47
0,390,Unidirected,389,,,7
0,391,Unidirected,390,,,32
0,392,Unidirected,391,,,3
0,393,Unidirected,392,,,9
0,394,Unidirected,393,,,3
0,395,Unidirected,394,,,2
0,396,Unidirected,395,,,5
0,397,Unidirected,396,,,23
0,398,Unidirected,397,,,15
0,399,Unidirected,398,,,19
0,400,Unidirected,399,,,15
0,401,Unidirected,400,,,3
0,402,Unidirected,401,,,2
0,403,Unidirected,402,,,8
0,404,Unidirected,403,,,6
0,405,Unidirected,404,,,2
0,406,Unidirected,405,,,2
0,407,Unidirected,406,,,3
0,408,Unidirected,407,,,2
0,409,Unidirected,408,,,8
0,410,Unidirected,409,,,2
0,411,Unidirected,410,,,2
0,412,Unidirected,411,,,145
0,413,Unidirected,412,,,117
0,414,Unidirected,413,,,3
0,415,Unidirected,414,,,3
0,416,Unidirected,415,,,47
0,417,Unidirected,416,,,13
0,418,Unidirected,417,,,17
0,419,Unidirected,418,,,20
0,420,Unidirected,419,,,6
0,421,Unidirected,420,,,2
0,422,Unidirected,421,,,17
0,423,Unidirected,422,,,3
0,424,Unidirected,423,,,71
0,425,Unidirected,424,,,2
0,426,Unidirected,425,,,2
0,427,Unidirected,426,,,10
0,428,Unidirected,427,,,4
0,429,Unidirected,428,,,50
0,430,Unidirected,429,,,6
0,431,Unidirected,430,,,2
0,432,Unidirected,431,,,24
0,433,Unidirected,432,,,4
0,434,Unidirected,433,,,7
0,435,Unidirected,434,,,5
0,436,Unidirected,435,,,7
0,437,Unidirected,436,,,20
0,438,Unidirected,437,,,28
0,439,Unidirected,438,,,30
0,440,Unidirected,439,,,4
0,441,Unidirected,440,,,4
0,442,Unidirected,441,,,3
0,443,Unidirected,442,,,7
0,444,Unidirected,443,,,3
0,445,Unidirected,444,,,2
0,446,Unidirected,445,,,3
0,447,Unidirected,446,,,5
0,448,Unidirected,447,,,9
0,449,Unidirected,448,,,8
0,450,Unidirected,449,,,7
0,451,Unidirected,450,,,3
0,452,Unidirected,451,,,4
0,453,Unidirected,452,,,3
0,454,Unidirected,453,,,88
0,455,Unidirected,454,,,30
0,456,Unidirected,455,,,2
0,457,Unidirected,456,,,10
0,458,Unidirected,457,,,15
0,459,Unidirected,458,,,7
0,460,Unidirected,459,,,2
0,461,Unidirected,460,,,24
0,462,Unidirected,461,,,119
0,463,Unidirected,462,,,4
0,464,Unidirected,463,,,8
0,465,Unidirected,464,,,13
0,466,Unidirected,465,,,19
0,467,Unidirected,466,,,20
0,468,Unidirected,467,,,5
0,469,Unidirected,468,,,10
0,470,Unidirected,469,,,4
0,471,Unidirected,470,,,186
0,472,Unidirected,471,,,15
0,473,Unidirected,472,,,49
0,474,Unidirected,473,,,3
0,475,Unidirected,474,,,17
0,476,Unidirected,475,,,4
0,477,Unidirected,476,,,3
0,478,Unidirected,477,,,9
0,479,Unidirected,478,,,8
0,480,Unidirected,479,,,27
0,481,Unidirected,480,,,5
0,482,Unidirected,481,,,5
0,483,Unidirected,482,,,12
0,484,Unidirected,483,,,17
0,485,Unidirected,484,,,75
0,486,Unidirected,485,,,5
0,487,Unidirected,486,,,44
0,488,Unidirected,487,,,138
0,489,Unidirected,488,,,2
0,490,Unidirected,489,,,35
0,491,Unidirected,490,,,7
0,492,Unidirected,491,,,26
0,493,Unidirected,492,,,6
0,494,Unidirected,493,,,4
0,495,Unidirected,494,,,149
0,496,Unidirected,495,,,24
0,497,Unidirected,496,,,2
0,498,Unidirected,497,,,39
0,499,Unidirected,498,,,17
0,500,Unidirected,499,,,21
0,501,Unidirected,500,,,13
0,502,Unidirected,501,,,4
0,503,Unidirected,502,,,7
0,504,Unidirected,503,,,3
0,505,Unidirected,504,,,2
0,506,Unidirected,505,,,5
0,507,Unidirected,506,,,7
0,508,Unidirected,507,,,4
0,509,Unidirected,508,,,4
0,510,Unidirected,509,,,7
0,511,Unidirected,510,,,6
0,512,Unidirected,511,,,17
0,513,Unidirected,512,,,43
0,514,Unidirected,513,,,3
0,515,Unidirected,514,,,5
0,516,Unidirected,515,,,2
0,517,Unidirected,516,,,3
0,518,Unidirected,517,,,103
0,519,Unidirected,518,,,3
0,520,Unidirected,519,,,11
0,521,Unidirected,520,,,2
0,522,Unidirected,521,,,2
0,523,Unidirected,522,,,7
0,524,Unidirected,523,,,2
0,525,Unidirected,524,,,25
0,526,Unidirected,525,,,3
0,527,Unidirected,526,,,66
0,528,Unidirected,527,,,2
0,529,Unidirected,528,,,2
0,530,Unidirected,529,,,3
0,531,Unidirected,530,,,6
0,532,Unidirected,531,,,6
0,533,Unidirected,532,,,3
0,534,Unidirected,533,,,12
0,535,Unidirected,534,,,5
0,536,Unidirected,535,,,27
0,537,Unidirected,536,,,35
0,538,Unidirected,537,,,8
0,539,Unidirected,538,,,6
0,540,Unidirected,539,,,35
0,541,Unidirected,540,,,7
0,542,Unidirected,541,,,9
0,543,Unidirected,542,,,19
0,544,Unidirected,543,,,4
0,545,Unidirected,544,,,2
0,546,Unidirected,545,,,23
0,547,Unidirected,546,,,2
0,548,Unidirected,547,,,3
0,549,Unidirected,548,,,3
0,550,Unidirected,549,,,2
0,551,Unidirected,550,,,25
0,552,Unidirected,551,,,41
0,553,Unidirected,552,,,3
0,554,Unidirected,553,,,4
0,555,Unidirected,554,,,94
0,556,Unidirected,555,,,6
0,557,Unidirected,556,,,2
0,558,Unidirected,557,,,2
0,559,Unidirected,558,,,2
0,560,Unidirected,559,,,144
0,561,Unidirected,560,,,23
0,562,Unidirected,561,,,2
0,563,Unidirected,562,,,199
0,564,Unidirected,563,,,43
0,565,Unidirected,564,,,11
0,566,Unidirected,565,,,3
0,567,Unidirected,566,,,3
0,568,Unidirected,567,,,4
0,569,Unidirected,568,,,6
0,570,Unidirected,569,,,25
0,571,Unidirected,570,,,227
0,572,Unidirected,571,,,4
0,573,Unidirected,572,,,6
0,574,Unidirected,573,,,24
0,575,Unidirected,574,,,5
0,576,Unidirected,575,,,25
0,577,Unidirected,576,,,5
0,578,Unidirected,577,,,2
0,579,Unidirected,578,,,5
0,580,Unidirected,579,,,20
0,581,Unidirected,580,,,16
0,582,Unidirected,581,,,181
0,583,Unidirected,582,,,10
0,584,Unidirected,583,,,3
0,585,Unidirected,584,,,7
0,586,Unidirected,585,,,6
0,587,Unidirected,586,,,16
0,588,Unidirected,587,,,2
0,589,Unidirected,588,,,2
0,590,Unidirected,589,,,8
0,591,Unidirected,590,,,7
0,592,Unidirected,591,,,23
0,593,Unidirected,592,,,2
0,594,Unidirected,593,,,3
0,595,Unidirected,594,,,34
0,596,Unidirected,595,,,4
0,597,Unidirected,596,,,24
0,598,Unidirected,597,,,3
0,599,Unidirected,598,,,2
0,600,Unidirected,599,,,2
0,601,Unidirected,600,,,19
0,602,Unidirected,601,,,13
0,603,Unidirected,602,,,3
0,604,Unidirected,603,,,21
0,605,Unidirected,604,,,4
0,606,Unidirected,605,,,2
0,607,Unidirected,606,,,2
0,608,Unidirected,607,,,2
0,609,Unidirected,608,,,2
0,610,Unidirected,609,,,31
0,611,Unidirected,610,,,6
0,612,Unidirected,611,,,54
0,613,Unidirected,612,,,5
0,614,Unidirected,613,,,16
0,615,Unidirected,614,,,6
0,616,Unidirected,615,,,112
0,617,Unidirected,616,,,20
0,618,Unidirected,617,,,25
0,619,Unidirected,618,,,2
0,620,Unidirected,619,,,13
0,621,Unidirected,620,,,6
0,622,Unidirected,621,,,2
0,623,Unidirected,622,,,2
0,624,Unidirected,623,,,14
0,625,Unidirected,624,,,4
0,626,Unidirected,625,,,4
0,627,Unidirected,626,,,17
0,628,Unidirected,627,,,2
0,629,Unidirected,628,,,14
0,630,Unidirected,629,,,6
0,631,Unidirected,630,,,130
0,632,Unidirected,631,,,17
0,633,Unidirected,632,,,2
0,634,Unidirected,633,,,7
0,635,Unidirected,634,,,6
0,636,Unidirected,635,,,2
0,637,Unidirected,636,,,33
0,638,Unidirected,637,,,5
0,639,Unidirected,638,,,3
0,640,Unidirected,639,,,20
0,641,Unidirected,640,,,7
0,642,Unidirected,641,,,3
0,643,Unidirected,642,,,4
0,644,Unidirected,643,,,2
0,645,Unidirected,644,,,2
0,646,Unidirected,645,,,2
0,647,Unidirected,646,,,11
0,648,Unidirected,647,,,324
0,649,Unidirected,648,,,9
0,650,Unidirected,649,,,22
0,651,Unidirected,650,,,4
0,652,Unidirected,651,,,39
0,653,Unidirected,652,,,6
0,654,Unidirected,653,,,5
0,655,Unidirected,654,,,4
0,656,Unidirected,655,,,19
0,657,Unidirected,656,,,14
0,658,Unidirected,657,,,7
0,659,Unidirected,658,,,4
0,660,Unidirected,659,,,9
0,661,Unidirected,660,,,2
0,662,Unidirected,661,,,9
0,663,Unidirected,662,,,2
0,664,Unidirected,663,,,2
0,665,Unidirected,664,,,22
0,666,Unidirected,665,,,524
0,667,Unidirected,666,,,13
0,668,Unidirected,667,,,55
0,669,Unidirected,668,,,29
0,670,Unidirected,669,,,6
0,671,Unidirected,670,,,2
0,672,Unidirected,671,,,8
0,673,Unidirected,672,,,2
0,674,Unidirected,673,,,20
0,675,Unidirected,674,,,7
0,676,Unidirected,675,,,13
0,677,Unidirected,676,,,17
0,678,Unidirected,677,,,4
0,679,Unidirected,678,,,4
0,680,Unidirected,679,,,14
0,681,Unidirected,680,,,3
0,682,Unidirected,681,,,5
