Id,Label,timeset
0,Stack Overflow,
1,TeX - LaTeX,
2,Super User,
3,Webmasters,
4,Web Applications,
5,Ask Ubuntu,
6,Mathematics,
7,WordPress Development,
8,Game Development,
9,Ask Ubuntu Meta,
10,Meta Stack Exchange,
11,Server Fault,
12,Photography,
13,Geographic Information Systems,
14,Seasoned Advice,
15,Cross Validated,
16,Mathematics Meta,
17,Home Improvement,
18,Webmasters Meta,
19,Arqade,
20,Ask Different,
21,Arqade Meta,
22,TeX - LaTeX Meta,
23,Meta Server Fault,
24,Seasoned Advice Meta,
25,Cross Validated Meta,
26,Meta Super User,
27,Geographic Information Systems Meta,
28,Game Development Meta,
29,Web Applications Meta,
30,Home Improvement Meta,
31,Photography Meta,
