Id,Label,timeset,node_type
0,Stack Overflow,,Stack
1,TeX - LaTeX,,Stack
2,Super User,,Stack
3,Webmasters,,Stack
4,Web Applications,,Stack
5,Ask Ubuntu,,Stack
6,Mathematics,,Stack
7,WordPress Development,,Stack
8,Game Development,,Stack
9,Ask Ubuntu Meta,,Stack
10,Meta Stack Exchange,,Stack
11,Server Fault,,Stack
12,Photography,,Stack
13,Geographic Information Systems,,Stack
14,Seasoned Advice,,Stack
15,Cross Validated,,Stack
16,Mathematics Meta,,Stack
17,Home Improvement,,Stack
18,Webmasters Meta,,Stack
19,Arqade,,Stack
20,Ask Different,,Stack
21,Arqade Meta,,Stack
22,TeX - LaTeX Meta,,Stack
23,Meta Server Fault,,Stack
24,Seasoned Advice Meta,,Stack
25,Cross Validated Meta,,Stack
26,Meta Super User,,Stack
27,Geographic Information Systems Meta,,Stack
28,Game Development Meta,,Stack
29,Web Applications Meta,,Stack
30,Home Improvement Meta,,Stack
31,Photography Meta,,Stack
